id,観点,名前,普通なら,ここでは,効く理由,CSS,使う場所,効き,手間,出典
color/series-by-fixed-mark,色,地色は1枚ずつ変え、番号など記号の色だけ全部同じにする,カードは全部白で揃え、番号やアイコンの色をカードごとに変える（真逆をやる）,カードの地色は緑・水色・ピンクの淡色3種でバラバラなのに、01/02/03の数字はすべて同じ濃緑(#0f8a4a)。枠線も影も一切なく、面の色だけでカードが立っている。,地色が違っても記号の色が串刺しになるので、バラバラの3枚が1つのシリーズとして読める,".card{border:0;box-shadow:none;border-radius:12px;background:var(--c);padding:28px}
.c1{--c:#e8f4e4}.c2{--c:#ddeff6}.c3{--c:#fbe0e6}
.num{color:#0f8a4a;font-weight:800;font-size:26px;line-height:1}",features value voice,2,1,sho_gakken_s05
color/single-dark-anchor,色,暗い面を画面に1つだけ許し、その中に情報を閉じ込める,見出しやボタンにアクセント色を複数点入れる,背景は明度の高い青みグレー(#eceef1)一色、写真も低彩度で、濃紺(#1a2f4a)の正円1つだけが唯一の暗い面。文字も罫もその円の中に閉じ込められ、円の外の装飾は地図リンクの下線1本だけ。,暗い面が1つしか無いので、そこが連絡先だと見出しで説明しなくても分かる,"section{background:#eceef1}
section *{border:0;box-shadow:none}
.circle{width:min(72vw,420px);aspect-ratio:1;border-radius:50%;background:#1a2f4a;color:#fff;display:grid;place-items:center;text-align:center;padding:40px}
.circle a{color:#fff;text-decoration:underline;text-underline-offset:3px}",access cta footer,2,1,ogawa_s12
color/uneven-multicolor-rule,色,アクセントラインを1色でなく、幅の不均等な多色ストライプにする,カードや帯の上部に1色のアクセントラインを引く,帯の上辺6pxに水色・黄緑・オレンジ・マゼンタ・紺が不均等な幅で連続し、3枚の色面それぞれの上に同じストライプが繰り返される。下のベタ面は3色しかないので、ブランドの色数はこの一列だけが持つ。見出し下の罫も幅64pxの虹色グラデ3pxにする。,幅を不均等にすると等分のカラーバーに見えず、ブランドの色数だけが一目で伝わる,".band{position:relative}
.band::before{content:"""";position:absolute;inset:0 0 auto;height:6px;background:linear-gradient(90deg,#00a0e9 0 8%,#8dc21f 8% 20%,#f39800 20% 34%,#e4007f 34% 44%,#1d2088 44% 56%,#00a0e9 56% 66%,#8dc21f 66% 78%,#f39800 78% 88%,#e4007f 88% 100%)}
.rule{width:64px;height:3px;background:linear-gradient(90deg,#ffd400,#00c2b8,#e9407a);margin:10px auto}",features value price cta,2,1,tanq_s11 tanq_s07
color/whisper-contrast,色,見出しや面を「見えるか見えないか」の差で置く,セクションタイトルは黒か濃色ではっきり読ませる／背景は真っ黒のベタ一色で終わらせる,白地の「SHOEI REAL」は#dedede、日本語サブはさらに薄い#e3d9d9 で、写真より弱いコントラストに落としてある。暗い側では#0a0b0dの地に#16171a（RGBで12差）の斜めのくさびが潜み、要素としては認識されないのに平面さだけが消える。,タイトルが背景の一部まで下がるので写真と本文が先に目に入り、面は光が当たっている程度の奥行きだけを足す,"h2{color:#dedede;font-weight:300;font-size:34px;letter-spacing:.15em}
h2+p{color:#e3d9d9;font-size:12px;letter-spacing:.12em}
section{background:#0a0b0d;position:relative;isolation:isolate}
section::before{content:'';position:absolute;inset:0;z-index:-1;background:#16171a;clip-path:polygon(72% 0,100% 0,100% 55%,86% 100%,60% 0)}",features value hero member,2,1,shoei_s11 odrive_s09
color/paper-grain-ground,色,地を#fffのベタにせず、紙目ノイズや網点を敷いて罫を省く,背景は#ffffffか単色ベージュのフラット塗り／薄い水色のベタ,全面が微細な粒を持つ生成り(#f7f3ec)。写真の外側と背景の境目に罫は一切なく、粒と白い写真周辺の質感差だけで面が分かれている。別例は淡い青の全面に6px間隔のドットを敷き、パネルの落ち影までベタでなくドットの密度で作り、セクション下端はドット帯が斜めに切れて終わる。,地に質感があると枠線を一切引かなくても要素の輪郭が立ち、淡い色面だけの構成でも画面が痩せない,"body{background:#f7f3ec}
body::before{content:'';position:fixed;inset:0;pointer-events:none;opacity:.5;mix-blend-mode:multiply;background-image:url(""data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg'%3E%3Cfilter id='n'%3E%3CfeTurbulence baseFrequency='.9'/%3E%3C/filter%3E%3Crect width='100%25' height='100%25' filter='url(%23n)'/%3E%3C/svg%3E"")}
/* 網点版 */
.halftone{background-image:radial-gradient(#c9d8ef 1px,transparent 1.2px);background-size:6px 6px;-webkit-mask-image:linear-gradient(180deg,transparent,#000 40%,transparent)}",hero features value footer,2,2,koran_s06 koran_s07 meikei_s05
edge/arc-oversized,境界,画面幅より大きい円で境界を削る（大円弧）,背景色を切り替える水平線でセクションを分ける。曲線にしてもテンプレ標準の波形dividerを1本挟むだけ,直径が画面幅の1.2〜2倍ある円の「弧の一部だけ」を境界に使う。linie_s01は深緑面の下辺を width:124%/aspect-ratio:1 の白円でえぐり、左端はほぼ垂直に立ち上がり中央から右へ緩く下がる非対称。shoei_s04は逆に幅720pxに対し弧の高さが10px程度しかない超扁平。同じ手で「包み込む面」から「空気の切れ目」まで振れる。,半径が画面幅を超えると弧が「装飾の波」でなく面そのものの縁に見え、区切りではなく場面転換になる,"/* A. 深い弧: 上の色面の下辺を巨大な白円でえぐる */
.hero{position:relative; overflow:hidden; background:#1d5137}
.hero::after{content:''; position:absolute; left:-12%; bottom:-72%;
  width:124%; aspect-ratio:1; border-radius:50%; background:#fbfaf7}

/* B. 扁平弧: 次セクション側を持ち上げる（縦半径を幅よりはるかに小さく） */
.next{background:#f6f5fa; margin-top:-40px;
  border-radius:50% 50% 0 0 / 40px 40px 0 0}

/* C. 非対称にする: left/top を左右非対称にずらす */
.sec{background:#f4f4f2; position:relative; overflow:hidden}
.sec::before{content:''; position:absolute; left:-34%; top:-150%;
  width:170%; aspect-ratio:1; border-radius:50%; background:#fff}",hero value features voice cta,3,1,linie_s01 linie_s05 linie_s07 shoei_s04 shoei_s08
edge/divider-as-band,境界,境界を線でなく「高さのある帯」に置き換える（流れる文字／写真ストリップ）,セクションの境目は1本の水平線か、白い余白で切る,Novakidは白と紫の境目に高さ約28pxの黄緑帯を挟み、「ノバキッドのスター先生をご紹介 ✦」を反復して横に流す。文字は左右の画面端で切れており、区切り線そのものが動くテキストになっている。花まるは寄り・引き・アングルの違う子ども5枚を隙間1〜2pxで並べた高さ約115pxの帯を、次の写真セクションの直上に余白ゼロで密着させ、「密度の高い帯→霞んだ面」という密度差だけで切っている。,境界に情報と動き（または密度）を持たせられるので、罫1本より強く場面転換が伝わるのに硬くならない,"/* マーキー帯（中身は同じ span を2回分入れておく） */
.marquee{height:28px; background:#6ee87a; overflow:hidden; white-space:nowrap;
  display:flex; align-items:center}
.marquee>span{display:inline-block; padding-right:40px;
  animation:m 18s linear infinite}
@keyframes m{to{transform:translateX(-50%)}}

/* 写真ストリップ帯（余白ゼロで密着） */
.strip{display:grid; grid-template-columns:repeat(5,1fr); gap:2px; margin-bottom:0}
.strip img{width:100%; aspect-ratio:1/1.1; object-fit:cover; display:block}
.strip + section{margin-top:0}",features value voice member cta,3,1,sho_novakid_s12 sho_hanamaru_s11
edge/panel-not-full-width,境界,背景色を全幅の矩形にしない（幅を82%で止める／角を1箇所だけ大きく丸める）,セクション背景色は画面幅いっぱいに敷き、上下の境目は水平線になる,linieのミント面は左端で断ち落とし、右端は画面幅の約82%で止まって右上・右下にR64が付く。下の白セクションも border-top-left-radius:64px で立ち上がるので、境界が「2枚の丸い面のずれ」に見える。buddiesは全幅のまま角を1箇所だけR56で丸め、次の面では丸める角を左右反転させて交互に差し込む。,背景が「敷かれたもの」でなく「置かれた1枚の面」になり、余った地色が余白として働く。角を交互に反転させると縦スクロールにリズムが出る,"/* A. 幅を切る + 片側だけ丸める */
.band{background:#d1e0d9; width:82%; margin-left:0;
  border-radius:0 64px 64px 0; padding:56px 0 40px}
.band + section{border-top-left-radius:64px; margin-top:-24px}

/* B. 角1箇所だけ・上下で左右反転 */
.sec-orange{background:#e8763a; border-radius:0 0 0 56px}
.sec-dark  {background:#2e2f2a}
.sec-cream {background:#faf9f7; border-radius:0 56px 0 0; margin-top:-1px}",features value member voice cta,3,1,linie_s11 buddies_s10
edge/split-and-straddle,境界,背景を2色にハード分割し、その継ぎ目をカード・写真・見出しにまたがせる,セクション背景は1色にし、その内側にカードや写真を並べる。背景色の切り替えはコンテンツの下、余白のところで水平に切る,hanamaruは背景を高さ62%で淡ピンク→濃マゼンタにハードストップで割り、R40の白カードをその線にまたがせるので継ぎ目がカードの裏に隠れ左右の端にしか見えない。odrive_s03は上95pxだけ白・以下薄グレーで人物写真がその線を貫く。odrive_s11は同じことを縦にやり（左27%=#161719／右=#0a0b0d）「GALLERY」の白文字が継ぎ目を食う。musashino_s12は色帯の上辺を本文最終行と写真の下1/4に平気で走らせ、コンテンツを避けない。,背景の切れ目と要素の切れ目をずらすとフラットな2色面に前後の層ができる。線を消さず「隠す」ので面が2枚あることは伝わるのに切れ目が目立たない,"/* 横割り + カードを跨がせる */
section{background:linear-gradient(#fce8ef 0 62%, #ea4b93 62% 100%)}
.card{position:relative; z-index:1; background:#fff; border-radius:40px;
  margin:60px 90px -70px}          /* 下マージン負値で下段へ沈める */

/* 縦割り（明度差だけ）+ 見出しを食い込ませる */
section{background:linear-gradient(90deg,#161719 0 27%, #0a0b0d 27% 100%)}
h2{position:relative; z-index:1; margin-left:6%}

/* コンテンツを避けない色帯 */
.sec{position:relative; isolation:isolate}
.sec::after{content:''; position:absolute; inset:auto 0 0 0; height:19%;
  background:#f3f3e6; z-index:-1}",features value member voice price cta,3,1,hanamaru_s07 sho_hanamaru_s07 odrive_s03 odrive_s11 musashino_s12
edge/diagonal-bands,境界,12〜15度の斜めで切り、段ごとに傾きの向きを反転させる,写真の紹介セクションは横一列の長方形か、上下を水平線で切った帯にする,tanq_s07は全面写真の帯を4段積み、各段の上下辺を約12〜15度で斜めに切り、さらに傾きの向きを段ごとに逆にして左下がり→右下がりとジグザグに連続させる。斜辺は子どもの顔や体を平気で横切る。単発で使う場合は「一辺だけ斜め」に落として、左上に直角三角形のくさびを残す／右下から色面を差し込む形にする。,水平線が1本もないと視線が止まらず下へ引きずられる。向きを段ごとに反転させると縦スクロールにリズムが出る,"/* 全段を斜め＋向きを交互に反転 */
.band:nth-child(odd) {clip-path:polygon(0 0,100% 0,100% 82%,0 100%)}
.band:nth-child(even){clip-path:polygon(0 12%,100% 0,100% 100%,0 88%)}
.band{margin-top:-5%}            /* 斜辺で欠ける分を詰めて隙間を消す */

/* 一辺だけ斜め: 前セクションの底を三角で落とす */
.wedge{position:absolute; inset:0 auto auto 0; width:100%; height:160px;
  background:#f2f1e6; clip-path:polygon(0 0,44% 0,0 100%)}

/* 右下から差し込む色面 */
.sec{position:relative; overflow:hidden}
.sec::after{content:''; position:absolute; right:0; bottom:0;
  width:60%; height:120px; background:#f2f2e4;
  clip-path:polygon(100% 0,100% 100%,0 100%); z-index:-1}",features value voice price cta,3,2,tanq_s07 tanq_s08 tanq_s10 tanq_s11
edge/ground-line,境界,境界線を「地面」にして、切り抜きの人物を上に立たせる,セクションの境目は水平線で切り、人物写真やイラストはパネルの内側に収める,yamanomiは黄→水色の境目を振幅約12px・1周期＝画面幅のゆるい波にし、歩く親子の線画をその波の上に立たせて、白カードの下辺と波の両方をまたがせる。meisei-kgは淡い点線1本だけの区切りに、ランドセルを背負った園児2人の切り抜き写真の靴裏をぴたりと接地させている。線の種類（波/点線/実線）は問わず、要は境界に足が着いていること。,罫が仕切りと地面の二役になるので線を引いた理由が生まれ、境界が「線」でなく「場所」になる,"/* 波の地面（1周期の非対称波は border-radius では作れない → SVG path） */
.sec{position:relative}
.sec::after{content:''; position:absolute; inset:auto 0 0 0; height:40px;
  background:url(wave.svg) bottom/100% 40px no-repeat}
.kid{position:absolute; right:40px; bottom:-20px; width:150px;
  z-index:2; pointer-events:none}   /* 足元が bottom:0 に来るよう切り抜く */

/* 点線の地面 */
.divider{border-top:1px dotted #d6d6d6; position:relative}
.divider .kid{left:6%; bottom:0; width:130px}",features value voice cta access footer,3,2,yamanomi_s05 yamanomi_s07 meisei-kg_s13
edge/underlap-next,境界,次セクションの色面を負マージンで引き上げ、カードの下半分を飲ませる,白背景のセクションが終わってから黒いセクションが始まる（境目は水平線）,odriveは黒面(#16181A)の上端をカード写真の下端あたり（カード高の約45%）まで上げ、白カードが黒の上に乗る。カード間のガターからだけ黒が上まで見えるので、境界が一直線でなく段違いのギザギザに見える。peppyは逆向きに、写真の下から輪郭の一致しないピンク〜ラベンダーの面を22pxずらして斜めに覗かせ「紙が2枚重なった縁」にしている。,カードとカードの間のガターからだけ次の色が見えるので、境界が1本の線でなく段差になり、視線が下へ落ちる,"/* 次セクションを持ち上げてカードを飲む */
.cards{position:relative; z-index:2; margin-bottom:-130px}
.next-sec{background:#16181a; padding-top:150px}

/* ずらして覗かせる版（輪郭を一致させないのが肝） */
.hero{position:relative}
.hero::after{content:''; position:absolute; left:0; right:0; bottom:-22px;
  height:64px; z-index:-1;
  background:linear-gradient(90deg,#f7e6ef,#eef3f7);
  clip-path:polygon(8% 0,100% 0,96% 100%,0 100%)}",features member voice price cta,3,2,odrive_s02 sho_peppy_s01
edge/vertical-slab,境界,ヒーローを縦に断ち切り、右4割をベタ面の「看板」にする,ヘッダーの下に横並びのグローバルナビを置き、ヒーロー写真は全幅で見せる,画面右のx=61%から右端までを金色（くすんだ真鍮色）のベタ面が上端から下端まで貫き、左側の写真の右部分に被さる。面の中にロゴ・校名・住所・白と黒のボタン2つ・リンク7本・角丸バナーが縦に積まれる。セクション境界が水平でなく垂直の1本になる。,ナビを横一列でなく縦の面にすると、ヒーローが「写真＋看板」の2枚構成になり、情報量を落とさずに静かになる,".hero{position:relative; overflow:hidden; height:min(88vh,720px)}
.hero>img{width:100%; height:100%; object-fit:cover}
.panel{position:absolute; top:0; right:0; width:39%; height:100%;
  background:#c8a44e; z-index:3;
  display:flex; flex-direction:column; align-items:center; text-align:center;
  gap:18px; padding:32px 24px}
@media(max-width:768px){
  .hero{height:auto}
  .panel{position:static; width:100%; height:auto}
}",hero access cta,3,2,musashino_s01
edge/asymmetric-fade,境界,上辺だけグラデで溶かし、下辺はきっぱり切る（境界の非対称）,写真セクションの上辺も下辺も同じ扱い。境目は写真の辺をそのまま出して色の切り替わりを見せる,全幅の店内写真の上1/3を黒に沈むグラデーションで覆い、上のクリーム地との接合部を真っ黒から始める。一方で下端は明るいまま、きっぱり水平に切りっぱなし。同じ写真の上下で「溶かす／切る」を作り分けている。,上が溶けることでナビと写真が1つの塊になり、下の直線1本だけがセクションの終端として効く。上下を同じ処理にしないのが肝,".hero{position:relative}
.hero::before{content:''; position:absolute; inset:0;
  background:linear-gradient(180deg,
    #141414 0%, rgba(20,20,20,.55) 28%, transparent 58%)}
/* 下端には clip-path も border-radius も border も付けない = そのまま切る */",hero voice access,2,1,yugao_s15
edge/invisible-step,境界,罫を引かず、ほぼ見えない明度差だけで段を切る,フッターのコピーライト行の上に1pxのグレー罫を引いて区切る,odriveのフッターはリンク領域が#181818、最下部のコピーライト帯が#0d0d0d。罫線は一切なく、ほぼ見分けのつかない黒2段の差だけで帯を分けている。「見えるか見えないか」の強さに調整するのが肝で、差を付けすぎると2色に、減らすと消える。,線を足さないので暗い面の一体感が保たれ、それでも最下段が別レイヤーだと感じられる,".footer-main{background:#181818}
.footer-bar {background:#0d0d0d; border:0; padding:22px 40px}
/* 目安: 明度差は L* で 8〜15。
   例) #181818(L*≈9) と #0d0d0d(L*≈4) / #2a2a2a と #1c1c1c */",footer access price,2,1,odrive_s13 odrive_s11
edge/arc-doubled,境界,弧を2本ずらして重ね、境界を「層」にする,曲線で切るなら弧は1本。2本目は引かない,gakugei_s01は同じ大弧を橙とレモンイエローの2枚、縦に約120pxずらして重ね、手描きロゴタイプが手前の弧をまたぐ。koran_s08は淡ミントの大弧の内側に白1px相当のヘアライン弧を6pxずらして平行に走らせ、境界を「水面の波紋」に読み替えている。ベタ2枚か、ベタ＋ヘアラインの2通り。,弧が2本になると面が前後に分かれて見え、1本では出ない奥行きが境界そのものから生まれる,"/* ベタ2枚をずらす */
.arc{position:absolute; left:-10%; width:120%; height:280px;
  border-radius:50% / 100% 100% 0 0}
.arc.back {background:#f4b23c; top:0;     z-index:0}
.arc.front{background:#e9e335; top:120px; z-index:1}
.on-arc{position:relative; z-index:2}   /* ロゴ等を手前の弧にまたがせる */

/* ヘアライン版: 面の内側にもう1本だけ */
.wave{position:absolute; bottom:-360px; left:-50%;
  width:200%; height:420px; border-radius:50%; background:#cfe8e6}
.wave.hair{background:transparent; border-top:1px solid #fff;
  transform:translateY(6px); z-index:2}",hero value voice footer,2,2,gakugei_s01 koran_s08
