id,type,name,priority,summary,when,avoid,slots,exampleIds
features/features-staggered-2col,features,ずらし2カラム（段違い・番号バッジ食い込み）,2,2カラムグリッド（gap 40〜64px）だが右カラム全体を60〜100px下へずらして段違いにし、縦方向のリズムを作る。各項目は「写真→見出し2行→本文3〜4行」の縦積み。写真は角丸16px、ただし片側の角だけ40〜56pxと大きく落として同型の反復を崩す。番号は直径56〜72pxの細線の円バッジで、写真の左上角に40〜50%食い込ませる。バッジの塗りは地の背景と同色にして、写真を丸く欠いたように見せる。見出しは写真の下20〜24px、本文14〜15px/行間1.9、カラム幅は300〜380pxに抑えて1行22〜26字にする。派生:見出しを縦書きにして写真の外側（カラムの脇）に立て、写真は白フチ＋角丸で1〜2度だけ傾けたスナップ風にすると硬さが抜ける。傾けるのは写真だけで、テキストは必ず水平を保つ。,項目が4〜6 / 写真の縦横比や被写体の質が揃わない / 整列しすぎて事務的に見えるのを避けたい,項目間を比較して読ませたい（段違いは比較に向かない） / 項目ごとに重要度の差がある / 項目が奇数で最後の1枚が余る,番号 / 見出し / 本文 / 写真,shoei_s06 shoei_s07 linie_s06
features/features-anchor-visual-list,features,ビジュアル1点を軸に連番リストを対向配置,2,左右2分割（ビジュアル40〜45% / リスト55〜60%、gap 56〜80px）。片側にビジュアルを【1点だけ】置く（正円クリップの人物写真／動画サムネ／アプリUIなど。円にする場合は直径360〜440pxで、細い罫や星などのあしらいを円の外周に半分かける）。対向側に3〜6項目を縦に積み、各項目は「連番(36〜48px・細字や明朝で、見出し左に24〜32pxの余白を空けて置く)→リード1行(13〜14px)→大きめの見出し(英字大文字なら28〜34px・字間広め)→箇条書き2〜3行(先頭に小さな丸)」。項目ごとの区切り線は引かず、リスト全体の左端に縦罫を1本通して束ねる（縦罫と番号の間16px）。項目数が増えてもビジュアルは1点のままにして視線のアンカーにする。ビジュアルをスライダーにする場合は、対向テキストの下に「◀ ▶ ＋ 1/5 カウンタ」を右寄せで置き、枠は固定して中身だけ差し替える。アイコン付き一行リストにするなら行高48〜56px、アイコン28〜32pxを左端で揃え、テキストは必ず1行で切る。,特徴が抽象的で、項目ごとの写真を用意できない / 3つの柱・理念など概念を並べる / 縦に長くせずPCの1画面に収めたい,各項目に固有の強い写真がある（そちらを見せた方が強い） / 項目が7つ以上 / スマホ流入が主体のLP（左右分割の利点が消える）,セクション見出し / ビジュアル1点 / 連番×n / 各リード / 各見出し / 各箇条書き / スライダーカウンタ（任意）,musashino_s08 sho_novakid_s03 sho_novakid_s10 sho_risu_s13
features/features-proof-diagram,features,図・表で証明する（文章にしない）,2,1セクション=1つの図解。左に見出し＋解説文（幅380〜460px、左端に2〜3pxの縦罫を立てて字下げ20px）、右に図版（幅480〜560px）の2分割にするか、図版を中央720〜860pxで単独に置く。図版は用途で3型。(a)表型:週間スケジュールなどの格子。既存の状態は黒/グレーの枠、自社が足す分だけブランド色の枠＋淡い塗りにして塗り分け、破線枠と上下方向の矢印で「前倒し」「延長」など差分だけを注記する。表の下に11pxの注記行を右寄せで置く。(b)対比型:同型の図版2枚を横並びにし、それぞれの直下に吹き出し型キャプションを付けてBefore/Afterとして読ませる。2枚の間は40〜56px、中央に「＋」や「→」の記号だけを置く。(c)概念型:中心に結論（2行の見出し）を置き、その周囲に六角形や円を花状に等間隔配置、各図形内は「見出し1語＋説明1行」だけに絞る。共通ルール:図版の色数は2色＋グレーまで、線は1〜1.5px、図版内の最小文字は13px（本文より小さくしない）。図の意味を本文で説明し直さないこと（説明が要る図は作り直す）。,「時間が増える」「工程が減る」など数量・前後関係が主張の核 / 競合や従来と条件を比較させたい / 文章にすると長くなる仕組みの説明,図版を作る素材・工数がない / 主張が感情的な価値（安心・楽しさ） / 図が複雑で説明文が必要になる,見出し / 解説文 / 図版（表／対比／概念） / 図版内ラベル群 / 注記,sho_atama_s08 sho_zkai_s06 musashino_s13 sho_risu_s03
features/features-photo-tile-mosaic,features,写真タイルの段違い敷き詰め（幅の広さを量で見せる）,3,1つの主張（例「選択肢は◯◯業界すべて」）の下に、6〜10枚の写真タイルを2列で段違いに敷き詰める。タイルは150〜200px角前後、角丸8〜12px、列ごとに40〜60pxの縦オフセットを付けて上下をずらす。各タイルの左下に小さなタグラベル（白地・角丸4px・11〜12px・先頭に小さなドット）を写真の下辺に半分かぶせて置く。背景には薄い連番（120〜200px、opacity 0.08〜0.12）と縦書きのセクション見出しを重ね、タイル群はその上に乗せる。主張のコピーはタイル群の上に置き、キーワードだけ蛍光色のマーカー帯で塗る。1枚あたりの情報はタグ1語に限り、全部読ませない前提で「多い」ことだけを伝える。写真の下にコピーのラベルを半分はみ出させて重ね、その下に白い角丸ピルのボタンを置く形で1枚を主役にする縮小版としても使える。,対応範囲・選択肢の多さそのものが売り / 業種・職種・コースの一覧を魅力として見せたい / 写真が数多くある,写真が3枚以下 / 各項目を比較検討させたい（一覧表の方が親切） / 写真の画質・トーンがばらばら,セクション見出し（縦書き可） / 連番 / 主張コピー / 写真タイル×6〜10 / 各タグラベル / CTAピル（任意）,nakamura_s03 nakamura_s06
value/value-arc-split,value,弧で削いだハーフ分割（写真×テキスト）,1,"セクションを左右2枚に割る。写真側は画面の外端まで裁ち落とし、幅52〜58%。テキスト側は残り幅で、内側の余白は最低80px。決定的なのは写真の""内側の辺""を矩形のまま残さないこと——半径が写真高さの0.8〜1.2倍の大きな円弧（または半円アーチ）でクリップし、円の中心は画面外に置く。テキスト側は上から 見出し→本文→リンクピル の縦積みで左寄せ。見出しの背後にだけ淡いグラデ帯（写真側の色を薄めた色→透明）を1行分敷き、帯は見出しの左端より24px外へ出して本文と段差をつける。本文は max 34em・行間1.9。最下部に枠線だけのピルを2〜3個横並び（gap 12px、各ピルの右端に細い矢印）。上下パディング120px。背景は隣接セクションと同色になるなら紙テクスチャで差をつける。この型を2〜4本続けるときは写真とテキストの左右を毎回反転させ、弧の向きも反転させる。暗色地で使う場合は本文中の一語だけ差し色にして視線の着地点を作る。",価値を2〜4本、それぞれ写真つきで説明したい / 直線的なグリッドの硬さを和らげたい / 各項目から下層ページへ導線を出したい,写真がバストアップで顔が弧に切られる / 本文が3行未満で片側の余白が持たない / 写真を矩形のまま置くしかない（それは凡庸な2カラムになる）,見出し / 本文 / 写真1 / リンクピル（0〜3）,koran_s04 koran_s05 koran_s06 koran_s07 koran_s08 musashino_s12
value/value-panel-on-photo,value,全面写真にテキストパネルを重ねる,1,"写真をセクション全面に裁ち落とす（高さ520〜640px）。その上にテキストパネルを1枚だけ重ねる。置く位置は必ず写真の""被写体がいない側""——壁・空・床など空いた面にちょうど収まる位置で、被写体を隠さない。パネルは写真の外形から必ずはみ出させる（左右どちらかを画面外へ食い込ませる／上下どちらかを写真の外へ出す）。形は2択：(a) 白の角丸カード、幅38〜42%・内側パディング40px・影は薄く大きく・角丸8〜16pxで硬めに (b) 濃色の巨大な正円、直径はセクション高の1.1倍（＝上下が切れる）、テキストは円の中心40%幅に収める。パネル内は 小ラベル（英字）→見出し→本文3〜5行→テキストリンク or 小さな塗りボタン、の縦積み。写真側は対角の2隅だけを大きく角丸にして、パネルの形（直線 or 円）と対比を作る。写真の色が強い場合でもベールは掛けない——パネルの不透明な面で読ませる。",写真1枚が強く、それを主役に置いたまま説明も入れたい / 現場・人物の空気で信頼を作りたい / セクションを1つの絵として見せたい,被写体が画面中央にいてパネルの逃げ場がない / 本文が8行を超える（読ませるなら分割型やテキスト柱型へ） / 写真の解像度が低い（全面に伸ばすと粗が出る）,小ラベル / 見出し / 本文 / 写真1（全面） / ボタン/リンク,unico_s06 ogawa_s05
value/value-card-cutout,value,色ベタ地の白カード＋切り抜き人物のはみ出し,1,セクション全面を彩度の高いブランド色のベタで塗る（上下2色に割ってもよい）。中央に白い角丸カード（幅76〜82%・角丸24〜40px・上下パディング64px）をやや上へオフセットして浮かせる。カード内は中央揃えで リード1行（小さめ・字間広め）→「＝」などの記号1つ→3行に折った大コピー→ピルボタン、の順。要はカード内は静かに整える。動きは外側で作る：背景を抜いた切り抜き人物を2〜3体、カードの左右の縁と下辺にまたがるように配置し、カードの矩形を壊して前後関係を作る。切り抜きは足元・頭を絶対に切らずカードの外側へ出し切る。さらに余白へ小さな手描き記号（星・音符・花・波線）を4〜8個、人物と重ならない位置に散らす。見出しを枠線の吹き出しボックスに入れる、セクション下端を波形にして次の面へ切り替える、といった処理を足すとベタ色が締まる。,明るさ・親しみやすさを訴求したい / 切り抜ける人物写真がある / 言い切りを1つだけ大きく見せたい,切り抜き素材が用意できない（矩形写真では成立しない） / 落ち着き・格式のトーン / カードに入れたい情報が多く中央揃えが崩れる,リード1行 / 大コピー（3行） / ボタン / 切り抜き人物2〜3 / 手描き記号,hanamaru_s07 sho_hanamaru_s07 yamanomi_s05
value/value-statement-column,value,宣言文の1本柱＋余白への差し込み,1,濃い単色ベタ（えんじ・深紅・濃紺）または無地の紙地を敷き、中央に細いテキスト柱を1本だけ立てる。柱の幅は30〜38%（max 30em）で、それ以外にレイアウト要素を置かない。本文は句点ごとに改行した3〜5行を1ブロックとし、ブロック間を96px空け、区切りに柱幅いっぱいの点線／細罫を入れる。文字は本文サイズのまま大きくせず、行間2.0で読ませる。左右に残った広い余白へ、背景を抜いた小さめの切り抜き写真（柱の高さの1/4以下）を上下ジグザグに2〜4枚、影なしで地に浮かせる。切り抜きが無ければ角丸写真を画面の左右端から半分だけ差し込む（本文の1カラムは絶対に崩さない）。最後だけ書き文字級数の1行（本文の3〜4倍）を中央に置いて締め、その左右に線画モチーフを1つずつ添える。,理念・コンセプトを長めの文章で読ませたい / 写真が弱い／少ない / 色そのもので世界観を作りたい,本文が2〜3行しかない（ただの中央寄せテキストになる） / 切り抜きも端差し込み写真も用意できない / 短い言い切り1本だけを見せたい（巨大文字型へ）,小ラベル（CONCEPT等） / 本文ブロック×3〜4 / 切り抜き写真2〜4 / 締めの1行,meisei-es_s02 meisei-es_s03 meisei-kg_s03 r-reha_s04
value/value-vertical-heading-3col,value,縦組み見出し×重ね写真×テキスト面の3列,1,3列で組む。左20%＝縦組みの大見出し（1行、字間広め、最大12文字）と、その右に縦組みの小さな英字ラベルを添える。中央45%＝写真で、角丸カードを2〜3枚、右下へ8〜16pxずつずらして重ね、一番上の1枚だけ1〜2度傾ける（重ねた下のカードは白フチか薄影で存在を見せる）。右35%＝薄グレー／淡色のベタ面に乗せた本文ブロックで、左端を中央の写真カードの上に60〜100px重ねて列の境界を溶かす。本文の下にピル型リンク（右端に丸い矢印バッジ）。背景の右上（または左上）に、セクション高の1.5倍ある巨大な円弧の面をごく淡い色で敷き、輪郭線を1本だけ見せる。余白には線画イラストを2〜3個、要素の外側に置いて枠外へはみ出させる。派生として中央の写真を横長の楕円1枚にクリップし右のテキスト列を省く形も同型（そのぶん線画を増やして枠外へ出す）。,縦書きが似合う日本語の言葉が主役 / 写真が複数枚あり1枚に絞れない / 上質さ・丁寧さを出したい,縦組み見出しが12文字超（高さが破綻する） / 英語主体のコピー / 線画などのあしらい素材が一切ない,縦組み見出し / 縦英字ラベル / 写真1〜3（重ねカード or 楕円1枚） / 本文 / リンク / 線画イラスト2〜3,linie_s05 meisei-kg_s07
value/value-giant-type-overlap,value,巨大文字を他要素に重ねてレイヤーを作る,2,"セクションの主役を""文字そのもの""にする型。見出しを画面幅の70〜100%まで拡大し（100〜160px、英字なら左右を断ち切って画面外へ出す）、必ず他の要素と重ねて前後関係を作る。重ね方は3択：(a) 大きな明朝の見出しの上に本文を通常サイズで重ね、見出し側の不透明度を落として本文の下に潜らせる (b) 極太英字を写真の上端に食い込ませ、写真の天地は文字の下1/3が乗る位置から始める (c) 筆記体／明朝の巨大文字を背景色＋5〜8%の淡色でゴーストとして敷き、写真ブロックがその上に乗って文字の一部を隠す。さらに細い縦罫グリッドを4〜8本、文字と写真を貫通させて通すと、重なりが事故でなく意図に見える。読ませる実文はこの塊の下に通常の1カラム（max 40em）で置き、重なりの領域には情報を持たせない。余白には吹き出しの線画や顔文字、手描きモチーフを2〜4個散らして無地の1枚に動きを出す。",セクションの入口で世界観を一撃で掴ませたい / 言葉が短く強い / 使える写真が1〜2枚しかない,読ませたい情報が重なりの下に来る / 本文が長い（読ませる面には使わない） / ブランドの書体が細く巨大化に耐えない,巨大見出し（和文 or 英字） / 本文 / 写真1（任意） / 線画モチーフ,gakugei_s03 unico_s02 buddies_s03 hanamaru_s04
value/value-ring-diagram,value,リング図＋傾け写真の散らし,2,抽象語の羅列を構造として見せる型。中央にドーナツ状の円環（外径260〜320px、線幅40〜56px、淡いブランド色のベタ）を置き、内側中央に核となる一言を2行まで（引用符や鉤括弧で囲うと締まる）。円周上の12時・4時・8時の位置に丸バッジを等間隔で載せ、要素名を2行で入れる。バッジは円環の線の上に半分だけ乗せて輪から少しはみ出させ、上に小さなカテゴリラベルを添える。左右の余白には角丸写真（幅160〜220px）を各2枚、±4〜8度のばらばらな角度で傾け、隣同士を少し重ねて散らす——円という規則形と写真の不規則さの対比が骨子。写真は円の高さの範囲に収め、中央への視線を邪魔しない。背景はごく淡いブランド色のベタ。派生として、細い輪郭だけの円を3つ横並びにして端を重ね、各円に1テーマ（見出しは円の上辺に載せる）を入れる形も同型。,価値を3要素の構造として提示したい / 抽象語を並べるだけになりがちな内容に骨格を与えたい / 理念セクションの直後に置いて要約したい,要素が4つ以上（円周に乗り切らない） / 各要素に長い説明文が必要 / 写真が1枚もない（円だけでは間が持たない）,核となる一言 / 要素名×3 / カテゴリラベル×3 / 写真4枚（左右2枚ずつ）,meisei-kg_s05 meisei-es_s05 musashino_s07
